;X;Y;Elevation;Depth;Area;pH;Secchi;Agriculture;Built area;Ditches
Ahost40;327059,7815;6811152,007;98,2;2,7;16,04685284;6,3;1;33,36061984;2,413082211;3,082473458
Ahuli40;341017,2665;6815719,392;84,5;7,5;47,28379451;6,8;1,7;61,34334957;0,505947952;0,49141954
Alas40;333611,3746;6822952,094;102,1;9;37,0046261;7,4;1,6;28,59287582;0,257186025;2,167932843
Hauta40;338411,7488;6807681,735;118,5;3,5;0,259109826;5,6;1,5;0;0;0
Helve40;334573,9908;6810811,778;130,9;5;0,667377978;6,6;2,6;0;0;6,274652515
Iides40;330117,71;6820980,441;77,1;2,1;65,55412447;8,5;0,2;40,82309898;1,916702263;0,21218892
Isola40;318832,8933;6818102,777;77,2;5;9,48448522;6,7;1,9;71,55355362;0,524889805;1,675780102
Isori40;334708,5083;6811671,598;125,1;8;6,561308226;6,6;2;0;0;0
Kauka40;335471,9369;6819202,592;87,9;21;138,4889835;7,7;5,1;40,6452574;1,328660827;0,635985102
Kirkko40;343305,9141;6817086,013;84,8;2,8;164,57807;8,5;0,3;55,97757904;1,340563438;0,860804498
Knenj40;321234,031;6813908,084;99,7;6,3;9,927671626;5,9;1,4;32,61821628;0,664688327;0,809879564
Koivi40;321019,4465;6815847,844;89,2;4,5;4,550337017;6,6;1,7;66,18239337;0,674264474;0,676130213
Koto40;320636,5915;6814721,019;99,3;3,4;4,007670666;6,2;1,4;49,58663282;1,322065513;1,565433457
Ksenj40;322432,696;6814821,102;104,9;4,8;4,891808234;6,5;2,5;15,43624877;0,229621841;0
Lahna40;338088,9902;6811381,679;93,4;6;23,21513884;6,6;1,5;43,74982965;0,531167385;1,069737578
Mayha40;331265,3865;6799240,472;94,3;5;209,1789959;8;0,7;27,05483385;0,82146939;0,459533278
Pulka40;322975,0427;6813982,795;118,6;6;13,04134968;7;3,2;0;0;0
Ruta40;336984,5809;6804222,322;115,2;21;43,07713028;5,4;2,8;0;0,069703683;0,549992936
Sakko40;345738,5863;6815024,816;84;1,8;21,0840238;7,6;0,7;68,58249689;0,884150947;0,511656445
