;Acorca;Alispl;Alopae;Butoum;Callhe;Careac;Careaq;Caredi;Carela;Careps;Carero;Careve;Cerade;Crasaq;Elathy;Elattr;Eleoac;Eleopa;Elodca;Equifl;Glycfl;Glycma;Hippvu;Hydrmo;Irisps;Juncbu;Lemnmi;Lemntr;Limoaq;Lobedo;Lysith;Myrial;Myrive;Nuphlu;Nympca;Persam;Phraau;Potaal;Potabe;Potaco;Potacr;Potagr;Potana;Potaob;Potape;Potapr;Ranuli;Ranupe;Ranure;Roriam;Rumehy;Sagisa;Schola;Scolfe;Sparem;Sparer;Spargr;Sparna;Spirpo;Straal;Subuaq;Typhan;Typhla;Utriin;Utrimi;Utrivu
Ahost40;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;1
Ahuli40;0;1;0;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1
Alas40;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1
Hauta40;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Helve40;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Iides40;1;1;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;0;1;1;1;0;1
Isola40;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1
Isori40;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Kauka40;0;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1
Kirkko40;0;1;0;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;0;1
